feature,coefficient,abs_coefficient
cnv_depth__IBNLCO_05717__mipA__gene__promoter,0.4870981003618853,0.4870981003618853
cnv_depth__IBNLCO_00393__IBNLCO_00393__gene,0.427415952169687,0.427415952169687
cnv_depth__IBNLCO_05223__IBNLCO_05223__gene__promoter,-0.39985045981577805,0.39985045981577805
cnv_depth__IBNLCO_03972__Succinyl-CoA:coenzyme__CDS__promoter,0.39015224713304597,0.39015224713304597
cnv_depth__IBNLCO_00442__IBNLCO_00442__gene__promoter,0.368015234899191,0.368015234899191
cnv_depth__IBNLCO_04983__Type__CDS__promoter,-0.36673052071624196,0.36673052071624196
cnv_depth__IBNLCO_05777__Ferredoxin--NAD(+)__CDS__promoter,0.3597582400489618,0.3597582400489618
cnv_depth__IBNLCO_04222__IBNLCO_04222__gene,-0.3437703382418708,0.3437703382418708
cnv_depth__IBNLCO_04972__N-acetylmuramoyl-L-alanine__CDS__promoter,-0.32204782708842533,0.32204782708842533
cnv_depth__IBNLCO_04703__IBNLCO_04703__gene__promoter,-0.30945214541429655,0.30945214541429655
cnv_depth__IBNLCO_00341__IBNLCO_00341__gene,-0.3077151783513848,0.3077151783513848
cnv_depth__IBNLCO_05722__IBNLCO_05722__gene,-0.3050442121239733,0.3050442121239733
cnv_depth__IBNLCO_04550__IBNLCO_04550__gene,-0.2872246815128375,0.2872246815128375
cnv_depth__IBNLCO_04459__IBNLCO_04459__gene__promoter,0.28388519137057755,0.28388519137057755
cnv_depth__IBNLCO_04172__hypothetical__CDS__promoter,0.2739706843617082,0.2739706843617082
cnv_depth__IBNLCO_02985__Signal__CDS__promoter,0.266990217784833,0.266990217784833
cnv_depth__IBNLCO_04115__hypothetical__CDS,0.2613549719768568,0.2613549719768568
cnv_depth__IBNLCO_04378__IBNLCO_04378__gene__promoter,0.2554056879017154,0.2554056879017154
cnv_depth__IBNLCO_04354__IBNLCO_04354__gene__promoter,-0.25203742735858,0.25203742735858
cnv_depth__IBNLCO_04404__UspA__CDS__promoter,0.23220666128611445,0.23220666128611445
cnv_depth__IBNLCO_05088__phoB__gene__promoter,0.23037319447822788,0.23037319447822788
cnv_depth__IBNLCO_04107__IBNLCO_04107__gene__promoter,0.22983207291630206,0.22983207291630206
cnv_depth__IBNLCO_01019__hypothetical__CDS,-0.2283071408406979,0.2283071408406979
cnv_depth__IBNLCO_00297__IBNLCO_00297__gene__promoter,-0.22515974745394743,0.22515974745394743
cnv_depth__IBNLCO_04141__2Fe-2S__CDS__promoter,0.21856536672381013,0.21856536672381013
cnv_depth__IBNLCO_03710__dhaL__gene__promoter,0.21460919470806028,0.21460919470806028
cnv_depth__IBNLCO_04239__IBNLCO_04239__gene__promoter,0.21229995540560498,0.21229995540560498
