feature,cluster
cnv_depth__IBNLCO_00001__IBNLCO_00001__gene,9557
cnv_depth__IBNLCO_00001__IBNLCO_00001__gene__promoter,7176
cnv_depth__IBNLCO_00002__IBNLCO_00002__gene,9108
cnv_depth__IBNLCO_00002__Cation/H+__CDS__promoter,8550
cnv_depth__IBNLCO_00003__tRNA__CDS,7511
cnv_depth__IBNLCO_00003__tRNA__CDS__promoter,7679
cnv_depth__IBNLCO_00004__Nucleoid__CDS__promoter,8611
cnv_depth__IBNLCO_00004__IBNLCO_00004__gene,6646
cnv_depth__IBNLCO_00005__yciC__gene,8748
cnv_depth__IBNLCO_00005__yciC__gene__promoter,5790
cnv_depth__IBNLCO_00006__IBNLCO_00006__gene,8713
cnv_depth__IBNLCO_00006__IBNLCO_00006__gene__promoter,9570
cnv_depth__IBNLCO_00007__pilQ__gene__promoter,6592
cnv_depth__IBNLCO_00007__Type__CDS,9002
cnv_depth__IBNLCO_00008__Type__CDS__promoter,6713
cnv_depth__IBNLCO_00008__hxcR__gene,6135
cnv_depth__IBNLCO_00009__Type__CDS__promoter,7355
cnv_depth__IBNLCO_00009__IBNLCO_00009__gene,6678
cnv_depth__IBNLCO_00010__gspC__gene,4965
cnv_depth__IBNLCO_00011__Type__CDS__promoter,92
cnv_depth__IBNLCO_00010__Type__CDS__promoter,92
cnv_depth__IBNLCO_00011__IBNLCO_00011__gene,8475
cnv_depth__IBNLCO_00012__Type__CDS__promoter,8737
cnv_depth__IBNLCO_00012__Type__CDS,8569
cnv_depth__IBNLCO_00013__IBNLCO_00013__gene__promoter,5773
cnv_depth__IBNLCO_00013__IBNLCO_00013__gene,9226
cnv_depth__IBNLCO_00014__hypothetical__CDS__promoter,8542
cnv_depth__IBNLCO_00014__hypothetical__CDS,7934
cnv_depth__IBNLCO_00015__IBNLCO_00015__gene__promoter,7398
cnv_depth__IBNLCO_00015__hypothetical__CDS,7495
cnv_depth__IBNLCO_00016__Type__CDS__promoter,7715
cnv_depth__IBNLCO_00016__gspL__gene,8428
cnv_depth__IBNLCO_00017__IBNLCO_00017__gene__promoter,9106
cnv_depth__IBNLCO_00017__Type__CDS,7330
cnv_depth__IBNLCO_00018__Type__CDS__promoter,8465
cnv_depth__IBNLCO_00018__IBNLCO_00018__gene,9163
cnv_depth__IBNLCO_00019__Efflux__CDS,8634
cnv_depth__IBNLCO_00019__Efflux__CDS__promoter,6424
cnv_depth__IBNLCO_00020__Multidrug__CDS,7049
cnv_depth__IBNLCO_00021__IBNLCO_00021__gene__promoter,370
cnv_depth__IBNLCO_00020__IBNLCO_00020__gene__promoter,370
cnv_depth__IBNLCO_00021__hypothetical__CDS,6096
cnv_depth__IBNLCO_00022__Multidrug__CDS__promoter,5429
cnv_depth__IBNLCO_00022__IBNLCO_00022__gene,7428
cnv_depth__IBNLCO_00023__lysR__gene,4988
cnv_depth__IBNLCO_00024__lrgA__gene__promoter,6
cnv_depth__IBNLCO_00023__lysR__gene__promoter,6
cnv_depth__IBNLCO_00024__lrgA__gene,7214
cnv_depth__IBNLCO_00025__LrgB__CDS__promoter,9565
cnv_depth__IBNLCO_00025__lrgB__gene,5197
cnv_depth__IBNLCO_00026__flagellar__CDS__promoter,7276
cnv_depth__IBNLCO_00026__flagellar__CDS,8002
cnv_depth__IBNLCO_00027__fliM__gene__promoter,5752
cnv_depth__IBNLCO_00027__fliM__gene,7867
cnv_depth__IBNLCO_00028__flagellar__CDS__promoter,6016
cnv_depth__IBNLCO_00028__fliN__gene,9464
cnv_depth__IBNLCO_00029__flagellar__CDS__promoter,6573
cnv_depth__IBNLCO_00029__fliO__gene,6774
cnv_depth__IBNLCO_00030__flagellar__CDS__promoter,7207
cnv_depth__IBNLCO_00030__fliP__gene,6473
cnv_depth__IBNLCO_00031__flagellar__CDS__promoter,5994
cnv_depth__IBNLCO_00031__fliQ__gene,5227
cnv_depth__IBNLCO_00032__flagellar__CDS__promoter,7075
cnv_depth__IBNLCO_00032__flagellar__CDS,8456
cnv_depth__IBNLCO_00033__IBNLCO_00033__gene,8706
cnv_depth__IBNLCO_00034__IBNLCO_00034__gene__promoter,7664
cnv_depth__IBNLCO_00033__IBNLCO_00033__gene__promoter,7379
cnv_depth__IBNLCO_00034__SAM-dependent__CDS,5640
cnv_depth__IBNLCO_00035__DUF2938__CDS__promoter,8835
cnv_depth__IBNLCO_00035__DUF2938__CDS,5477
cnv_depth__IBNLCO_00036__IBNLCO_00036__gene__promoter,8119
cnv_depth__IBNLCO_00036__IBNLCO_00036__gene,7689
cnv_depth__IBNLCO_00037__cmpD__gene__promoter,6274
cnv_depth__IBNLCO_00037__cmpD__gene,7568
cnv_depth__IBNLCO_00038__IBNLCO_00038__gene__promoter,6402
cnv_depth__IBNLCO_00038__IBNLCO_00038__gene,5727
cnv_depth__IBNLCO_00039__histidine__CDS__promoter,9011
cnv_depth__IBNLCO_00040__Transcriptional__CDS__promoter,8612
cnv_depth__IBNLCO_00040__Transcriptional__CDS,6553
cnv_depth__IBNLCO_00041__IBNLCO_00041__gene__promoter,5151
cnv_depth__IBNLCO_00041__IBNLCO_00041__gene,7188
cnv_depth__IBNLCO_00042__IBNLCO_00042__gene__promoter,6203
cnv_depth__IBNLCO_00042__IBNLCO_00042__gene,6983
cnv_depth__IBNLCO_00043__IBNLCO_00043__gene__promoter,8673
cnv_depth__IBNLCO_00043__Type__CDS,8745
cnv_depth__IBNLCO_00044__Putative__CDS__promoter,9535
cnv_depth__IBNLCO_00044__IBNLCO_00044__gene,6043
cnv_depth__IBNLCO_00045__AraC__CDS__promoter,7709
cnv_depth__IBNLCO_00045__araC__gene,7378
cnv_depth__IBNLCO_00046__Branched-chain__CDS,8723
cnv_depth__IBNLCO_00046__IBNLCO_00046__gene__promoter,8419
cnv_depth__IBNLCO_00047__IBNLCO_00047__gene,6333
cnv_depth__IBNLCO_00048__IBNLCO_00048__gene,9412
cnv_depth__IBNLCO_00047__Branched-chain__CDS__promoter,8247
cnv_depth__IBNLCO_00049__Amino__CDS,8043
cnv_depth__IBNLCO_00048__Branched-chain__CDS__promoter,5381
cnv_depth__IBNLCO_00049__Amino__CDS__promoter,5668
cnv_depth__IBNLCO_00050__IBNLCO_00050__gene,5737
cnv_depth__IBNLCO_00050__Leucine-binding__CDS__promoter,5787
cnv_depth__IBNLCO_00051__Phenylacetaldehyde__CDS__promoter,8984
