cnv_feature,f_score,p_value
cnv_depth__IBNLCO_00312__IBNLCO_00312__gene__promoter,208.30747750905175,1.252403986090248e-33
cnv_depth__IBNLCO_00076__dnaA__gene,185.74714621781447,4.898588044664775e-31
cnv_depth__IBNLCO_01722__Syringopeptin__CDS,176.1851469084072,6.81069969722793e-30
cnv_depth__IBNLCO_03094__Protein__CDS__promoter,163.87854224871523,2.2199939510443103e-28
cnv_depth__IBNLCO_04704__IBNLCO_04704__gene,150.35306407702882,1.1677061565319475e-26
cnv_depth__IBNLCO_04926__Carboxyl__CDS,145.30122282605547,5.328391415993021e-26
cnv_depth__IBNLCO_03265__IBNLCO_03265__gene__promoter,142.07733027319588,1.4196707127059581e-25
cnv_depth__IBNLCO_02030__IBNLCO_02030__gene,141.54655218594448,1.6696554231435253e-25
cnv_depth__IBNLCO_02855__secF__gene__promoter,140.44643283492428,2.3386192590216457e-25
cnv_depth__IBNLCO_00435__IBNLCO_00435__gene,139.65187792058376,2.9849092964777464e-25
cnv_depth__IBNLCO_01884__Poly-beta-hydroxybutyrate__CDS,139.51733087247388,3.110997321258236e-25
cnv_depth__IBNLCO_00792__bpeB__gene__promoter,139.14886937790573,3.4845131650986356e-25
cnv_depth__IBNLCO_03213__Large__CDS,138.59648752461527,4.131055278664947e-25
cnv_depth__IBNLCO_03666__IBNLCO_03666__gene__promoter,137.69545363191543,5.456143122606842e-25
cnv_depth__IBNLCO_01515__DNA-binding__CDS,136.18730464785617,8.706006852621375e-25
cnv_depth__IBNLCO_03430__IBNLCO_03430__gene,134.84614805242134,1.3213582535150467e-24
cnv_depth__IBNLCO_03222__DNA__CDS,134.77063182998847,1.3528332028190413e-24
cnv_depth__IBNLCO_03093__IBNLCO_03093__gene,134.18038269246557,1.6264139650037989e-24
cnv_depth__IBNLCO_02915__MFS__CDS__promoter,131.46518565979585,3.8101364311093836e-24
cnv_depth__IBNLCO_04643__Linear__CDS,130.94922703734716,4.4825485809291535e-24
cnv_depth__IBNLCO_03358__hypothetical__CDS__promoter,129.73238206528083,6.582845161296744e-24
cnv_depth__IBNLCO_03179__msrQ__gene,126.5638383643452,1.8020945034485682e-23
cnv_depth__IBNLCO_04748__gnl|Bakta|IBNLCO_04748__CDS__promoter,126.4135987575319,1.8906759006020075e-23
cnv_depth__IBNLCO_00120__esaS__gene,125.32140889461576,2.6815870590567115e-23
cnv_depth__IBNLCO_01569__N-acetylmuramoyl-L-alanine__CDS,123.65443400302074,4.5813262650685244e-23
cnv_depth__IBNLCO_04604__hypothetical__CDS,123.50907677886407,4.800961402177533e-23
cnv_depth__IBNLCO_03419__Lipopolysaccharide__CDS__promoter,122.59390772165479,6.450193719376092e-23
cnv_depth__IBNLCO_00121__esaR__gene,122.1342376375058,7.483758702573722e-23
cnv_depth__IBNLCO_01702__IBNLCO_01702__gene,121.99684109984953,7.824026157367353e-23
cnv_depth__IBNLCO_00052__IBNLCO_00052__gene,121.87869187086629,8.129092031835982e-23
cnv_depth__IBNLCO_01896__ATP__CDS,121.567197910916,8.992205415301968e-23
cnv_depth__IBNLCO_03361__Glycine__CDS,121.37550181765184,9.568775520845996e-23
cnv_depth__IBNLCO_03440__yceI__gene,121.1307798100802,1.0359408610312121e-22
cnv_depth__IBNLCO_00198__ATP-dependent__CDS,120.33227321146337,1.3428027770298385e-22
cnv_depth__IBNLCO_04550__IBNLCO_04550__gene,119.90366800263959,1.543848069429148e-22
cnv_depth__IBNLCO_01545__IBNLCO_01545__gene__promoter,119.45933509650081,1.7844447241249554e-22
cnv_depth__IBNLCO_03179__Protein-methionine-sulfoxide__CDS__promoter,118.97546108939461,2.0897536232528252e-22
cnv_depth__IBNLCO_03374__IBNLCO_03374__gene,118.78621775481461,2.2230476284359537e-22
cnv_depth__IBNLCO_01645__Outer__CDS,118.7648442024475,2.238631690441817e-22
cnv_depth__IBNLCO_01698__hypothetical__CDS,118.11044929407723,2.7731045303659136e-22
cnv_depth__IBNLCO_01673__phosphoribosylglycinamide__CDS,117.95801348499239,2.9150935977309393e-22
cnv_depth__IBNLCO_02977__Glycine__CDS,117.95088696539725,2.9219084387384716e-22
