feature,coefficient,abs_coefficient
cnv_depth__IBNLCO_04534__Dibenzothiophene__CDS__promoter,0.041573179563785194,0.041573179563785194
cnv_depth__IBNLCO_02342__Ubiquinone__CDS__promoter,0.040460463310868146,0.040460463310868146
cnv_depth__IBNLCO_00951__CHASE2__CDS__promoter,0.03942901759379805,0.03942901759379805
cnv_depth__IBNLCO_05031__IBNLCO_05031__gene__promoter,0.034929865710065434,0.034929865710065434
cnv_depth__IBNLCO_01548__IBNLCO_01548__gene__promoter,0.03463894060236232,0.03463894060236232
cnv_depth__IBNLCO_04459__IBNLCO_04459__gene__promoter,0.033226121675858866,0.033226121675858866
cnv_depth__IBNLCO_00829__msrA__gene__promoter,0.032245749527750465,0.032245749527750465
cnv_depth__IBNLCO_02855__secF__gene__promoter,0.03211066029487346,0.03211066029487346
cnv_depth__IBNLCO_05067__Toxin__CDS__promoter,0.03192029392746538,0.03192029392746538
cnv_depth__IBNLCO_04115__IBNLCO_04115__gene__promoter,0.03183765862252252,0.03183765862252252
cnv_depth__IBNLCO_02368__IBNLCO_02368__gene__promoter,0.031665970026948716,0.031665970026948716
cnv_depth__IBNLCO_05777__Ferredoxin--NAD(+)__CDS__promoter,0.030925680643352292,0.030925680643352292
cnv_depth__IBNLCO_04141__2Fe-2S__CDS__promoter,0.0306354821903337,0.0306354821903337
cnv_depth__IBNLCO_03094__Protein__CDS__promoter,0.030622195007886755,0.030622195007886755
cnv_depth__IBNLCO_02043__IBNLCO_02043__gene,0.030358756010914888,0.030358756010914888
cnv_depth__IBNLCO_04313__uvrY__gene__promoter,0.030296743531489118,0.030296743531489118
cnv_depth__IBNLCO_04919__gnl|Bakta|IBNLCO_04919__CDS__promoter,0.030250202299044935,0.030250202299044935
cnv_depth__IBNLCO_05109__hrpB4__gene__promoter,0.030155533208474587,0.030155533208474587
cnv_depth__IBNLCO_01306__araC__gene__promoter,0.03012441693568113,0.03012441693568113
cnv_depth__IBNLCO_04276__Diguanylate__CDS__promoter,0.030028696915390035,0.030028696915390035
cnv_depth__IBNLCO_00792__bpeB__gene__promoter,0.029747194256085206,0.029747194256085206
cnv_depth__IBNLCO_02529__xdhC__gene__promoter,0.02973253577234965,0.02973253577234965
cnv_depth__IBNLCO_01305__attH__gene__promoter,0.02967718555863747,0.02967718555863747
cnv_depth__IBNLCO_00981__HTH__CDS__promoter,-0.029599986354889262,0.029599986354889262
cnv_depth__IBNLCO_03896__IBNLCO_03896__gene__promoter,0.029555353052548618,0.029555353052548618
cnv_depth__IBNLCO_05735__IBNLCO_05735__gene__promoter,0.029470707917987723,0.029470707917987723
cnv_depth__IBNLCO_03941__3-oxoacyl-ACP__CDS__promoter,0.029454656641768658,0.029454656641768658
cnv_depth__unknown__unknown__regulatory.1,-0.02930231361668496,0.02930231361668496
cnv_depth__IBNLCO_04505__SDR__CDS__promoter,-0.029178593680233397,0.029178593680233397
cnv_depth__IBNLCO_05752__hypothetical__CDS__promoter,-0.028497019095681274,0.028497019095681274
cnv_depth__IBNLCO_00982__IBNLCO_00982__gene__promoter,-0.028426913605321222,0.028426913605321222
cnv_depth__IBNLCO_05684__IBNLCO_05684__gene__promoter,0.028119238524647674,0.028119238524647674
cnv_depth__IBNLCO_02607__IBNLCO_02607__gene__promoter,-0.028076233214147928,0.028076233214147928
cnv_depth__IBNLCO_00235__response__CDS__promoter,0.02790503042415535,0.02790503042415535
cnv_depth__IBNLCO_03897__DSBA__CDS,0.027728475009537533,0.027728475009537533
cnv_depth__IBNLCO_04685__Transmembrane__CDS__promoter,0.027608863953754184,0.027608863953754184
cnv_depth__IBNLCO_01157__trnL__gene__promoter,0.0275451391109799,0.0275451391109799
cnv_depth__IBNLCO_05127__HTH__CDS__promoter,-0.027493648368734247,0.027493648368734247
cnv_depth__IBNLCO_01328__IBNLCO_01328__gene__promoter,0.027321591800539738,0.027321591800539738
cnv_depth__IBNLCO_02295__IBNLCO_02295__gene__promoter,0.027283799364174532,0.027283799364174532
cnv_depth__IBNLCO_00892__IBNLCO_00892__gene__promoter,0.027188907084812905,0.027188907084812905
cnv_depth__IBNLCO_04701__hypothetical__CDS,0.027174379436939372,0.027174379436939372
cnv_depth__IBNLCO_05694__hypothetical__CDS__promoter,0.027147182903567123,0.027147182903567123
cnv_depth__IBNLCO_02800__Phosphoribosylformylglycinamidine__CDS__promoter,0.027065779732960874,0.027065779732960874
cnv_depth__IBNLCO_04942__Tat__CDS__promoter,0.026862975032223554,0.026862975032223554
cnv_depth__IBNLCO_02542__Thioredoxin__CDS__promoter,-0.026814423883913318,0.026814423883913318
cnv_depth__IBNLCO_03265__IBNLCO_03265__gene__promoter,0.026812091922453905,0.026812091922453905
cnv_depth__IBNLCO_00176__Peptidoglycan__CDS__promoter,0.02671603837262245,0.02671603837262245
cnv_depth__IBNLCO_05753__IBNLCO_05753__gene,-0.026611652921654218,0.026611652921654218
cnv_depth__IBNLCO_04115__hypothetical__CDS,0.026563814047907114,0.026563814047907114
cnv_depth__IBNLCO_02977__Glycine__CDS,0.02648540086963192,0.02648540086963192
cnv_depth__IBNLCO_03586__IBNLCO_03586__gene,0.026468717088976336,0.026468717088976336
cnv_depth__IBNLCO_05223__IBNLCO_05223__gene__promoter,-0.026428236021594362,0.026428236021594362
cnv_depth__IBNLCO_05703__DUF3175__CDS__promoter,0.026401115028729202,0.026401115028729202
cnv_depth__IBNLCO_01019__hypothetical__CDS,-0.026298183213638523,0.026298183213638523
cnv_depth__IBNLCO_04404__UspA__CDS__promoter,0.026217068644389583,0.026217068644389583
cnv_depth__IBNLCO_03688__Glycine__CDS__promoter,0.026103714114183354,0.026103714114183354
cnv_depth__IBNLCO_01929__IBNLCO_01929__gene__promoter,-0.026048254033804254,0.026048254033804254
cnv_depth__IBNLCO_03923__IBNLCO_03923__gene__promoter,0.025899287063933043,0.025899287063933043
cnv_depth__IBNLCO_05702__IBNLCO_05702__gene,0.0258930067243315,0.0258930067243315
cnv_depth__IBNLCO_04222__IBNLCO_04222__gene__promoter,-0.025774532344380676,0.025774532344380676
cnv_depth__IBNLCO_02269__IBNLCO_02269__gene,0.025658000894439884,0.025658000894439884
cnv_depth__IBNLCO_01121__IBNLCO_01121__gene__promoter,0.025647032386590142,0.025647032386590142
cnv_depth__IBNLCO_02233__IBNLCO_02233__gene__promoter,-0.025646219557629836,0.025646219557629836
cnv_depth__IBNLCO_05066__hipB__gene,0.025636308050365157,0.025636308050365157
cnv_depth__IBNLCO_02883__Holliday__CDS__promoter,-0.025594889412823358,0.025594889412823358
