feature,coefficient,abs_coefficient
cnv_depth__IBNLCO_04534__Dibenzothiophene__CDS__promoter,0.020105941260163396,0.020105941260163396
cnv_depth__IBNLCO_02342__Ubiquinone__CDS__promoter,0.019583704786282442,0.019583704786282442
cnv_depth__IBNLCO_00951__CHASE2__CDS__promoter,0.01865893650643885,0.01865893650643885
cnv_depth__IBNLCO_05031__IBNLCO_05031__gene__promoter,0.017969799211123176,0.017969799211123176
cnv_depth__IBNLCO_01548__IBNLCO_01548__gene__promoter,0.017487901236861496,0.017487901236861496
cnv_depth__IBNLCO_00829__msrA__gene__promoter,0.0164753901228193,0.0164753901228193
cnv_depth__IBNLCO_02855__secF__gene__promoter,0.016419854295868393,0.016419854295868393
cnv_depth__IBNLCO_04459__IBNLCO_04459__gene__promoter,0.016106946803886045,0.016106946803886045
cnv_depth__IBNLCO_05067__Toxin__CDS__promoter,0.016086090232062072,0.016086090232062072
cnv_depth__IBNLCO_00792__bpeB__gene__promoter,0.015707454468771646,0.015707454468771646
cnv_depth__IBNLCO_03094__Protein__CDS__promoter,0.015652088571260908,0.015652088571260908
cnv_depth__IBNLCO_04313__uvrY__gene__promoter,0.015542571147230627,0.015542571147230627
cnv_depth__IBNLCO_02043__IBNLCO_02043__gene,0.015446169766467127,0.015446169766467127
cnv_depth__IBNLCO_05109__hrpB4__gene__promoter,0.015381748523820597,0.015381748523820597
cnv_depth__IBNLCO_05777__Ferredoxin--NAD(+)__CDS__promoter,0.015355463340958142,0.015355463340958142
cnv_depth__IBNLCO_05735__IBNLCO_05735__gene__promoter,0.015182794735543629,0.015182794735543629
cnv_depth__IBNLCO_04115__IBNLCO_04115__gene__promoter,0.015097238848667652,0.015097238848667652
cnv_depth__IBNLCO_02368__IBNLCO_02368__gene__promoter,0.015093711629755547,0.015093711629755547
cnv_depth__IBNLCO_04919__gnl|Bakta|IBNLCO_04919__CDS__promoter,0.015008153138606367,0.015008153138606367
cnv_depth__IBNLCO_01306__araC__gene__promoter,0.014918044643943685,0.014918044643943685
cnv_depth__IBNLCO_00981__HTH__CDS__promoter,-0.014800608489004118,0.014800608489004118
cnv_depth__IBNLCO_01305__attH__gene__promoter,0.014797059644871473,0.014797059644871473
cnv_depth__IBNLCO_02295__IBNLCO_02295__gene__promoter,0.014617281199122322,0.014617281199122322
cnv_depth__IBNLCO_04276__Diguanylate__CDS__promoter,0.014520363746112382,0.014520363746112382
cnv_depth__IBNLCO_04701__hypothetical__CDS,0.014516542773470973,0.014516542773470973
cnv_depth__IBNLCO_02529__xdhC__gene__promoter,0.014463199334784144,0.014463199334784144
cnv_depth__IBNLCO_00982__IBNLCO_00982__gene__promoter,-0.014294310694513106,0.014294310694513106
