,feature_name,importance
138,cnv_depth__IBNLCO_00076__dnaA__gene,0.07388819
4015,cnv_depth__IBNLCO_03254__IBNLCO_03254__gene,0.028650623
4091,cnv_depth__IBNLCO_03297__flhA__gene__promoter,0.025871709
539,cnv_depth__IBNLCO_00369__IBNLCO_00369__gene__promoter,0.024942078
5187,cnv_depth__IBNLCO_04184__yraA__gene__promoter,0.022316383
3394,cnv_depth__IBNLCO_02855__secF__gene__promoter,0.022182956
1078,cnv_depth__IBNLCO_00829__msrA__gene__promoter,0.022116954
4180,cnv_depth__IBNLCO_03358__hypothetical__CDS__promoter,0.021675466
1048,cnv_depth__IBNLCO_00792__bpeB__gene__promoter,0.020788662
4684,cnv_depth__IBNLCO_03717__IBNLCO_03717__gene,0.020524183
3349,cnv_depth__IBNLCO_02818__TIGR02099__CDS__promoter,0.02041596
458,cnv_depth__IBNLCO_00312__IBNLCO_00312__gene__promoter,0.020131746
2686,cnv_depth__IBNLCO_02185__Glycosyltransferase__CDS,0.017115029
2940,cnv_depth__IBNLCO_02423__Acyl__CDS__promoter,0.016510785
4967,cnv_depth__IBNLCO_03970__Fe2OG__CDS__promoter,0.015015543
2424,cnv_depth__IBNLCO_01999__selO__gene,0.014749873
631,cnv_depth__IBNLCO_00439__PTS__CDS,0.014481749
133,cnv_depth__IBNLCO_00073__IBNLCO_00073__gene,0.014347188
2520,cnv_depth__IBNLCO_02069__putative__CDS__promoter,0.014029765
3786,cnv_depth__IBNLCO_03122__IBNLCO_03122__gene__promoter,0.01382336
5750,cnv_depth__IBNLCO_04643__Linear__CDS,0.013071869
4937,cnv_depth__IBNLCO_03946__IBNLCO_03946__gene,0.012626366
1992,cnv_depth__IBNLCO_01650__Microcin__CDS,0.011976544
4189,cnv_depth__IBNLCO_03361__Glycine__CDS,0.01089948
666,cnv_depth__IBNLCO_00469__IBNLCO_00469__gene,0.010700053
2816,cnv_depth__IBNLCO_02290__Nicotinamide-nucleotide__CDS,0.010438288
5256,cnv_depth__IBNLCO_04240__marR__gene__promoter,0.010410716
5107,cnv_depth__IBNLCO_04115__hypothetical__CDS,0.01018763
694,cnv_depth__IBNLCO_00492__IBNLCO_00492__gene,0.01004798
7072,cnv_depth__IBNLCO_05778__traR__gene,0.009889081
5917,cnv_depth__IBNLCO_04748__gnl|Bakta|IBNLCO_04748__CDS__promoter,0.00950225
7000,cnv_depth__IBNLCO_05717__mipA__gene__promoter,0.00942018
3739,cnv_depth__IBNLCO_03094__Protein__CDS__promoter,0.009007195
1412,cnv_depth__IBNLCO_01163__NADH-quinone__CDS__promoter,0.008986214
41,cnv_depth__IBNLCO_00023__lysR__gene,0.008650023
4032,cnv_depth__IBNLCO_03265__IBNLCO_03265__gene__promoter,0.008586167
691,cnv_depth__IBNLCO_00491__IBNLCO_00491__gene,0.008475413
145,cnv_depth__IBNLCO_00079__yidC__gene,0.00841871
6982,cnv_depth__IBNLCO_05705__IBNLCO_05705__gene,0.007953179
129,cnv_depth__IBNLCO_00072__Catalase-related__CDS__promoter,0.007877272
4238,cnv_depth__IBNLCO_03389__IBNLCO_03389__gene,0.0078048953
3964,cnv_depth__IBNLCO_03222__DNA__CDS,0.007746564
6713,cnv_depth__IBNLCO_05492__IBNLCO_05492__gene,0.007530704
4366,cnv_depth__IBNLCO_03454__NADPH-dependent__CDS__promoter,0.0075159967
150,cnv_depth__IBNLCO_00082__IBNLCO_00082__gene,0.0075029735
4717,cnv_depth__IBNLCO_03748__Acetyl__CDS__promoter,0.0074745463
6206,cnv_depth__IBNLCO_04983__Type__CDS__promoter,0.0074672857
721,cnv_depth__IBNLCO_00508__IBNLCO_00508__gene,0.00705984
5387,cnv_depth__IBNLCO_04340__hypothetical__CDS__promoter,0.006907378
43,cnv_depth__IBNLCO_00023__lysR__gene__promoter,0.006714675
3476,cnv_depth__IBNLCO_02916__Adenylosuccinate__CDS__promoter,0.006599787
3968,cnv_depth__IBNLCO_03224__IBNLCO_03224__gene__promoter,0.0065130806
968,cnv_depth__IBNLCO_00723__atsR__gene__promoter,0.0064147064
5123,cnv_depth__IBNLCO_04125__Response__CDS,0.0061416193
625,cnv_depth__IBNLCO_00435__IBNLCO_00435__gene,0.0060345046
175,cnv_depth__IBNLCO_00097__IBNLCO_00097__gene,0.0059800236
6767,cnv_depth__IBNLCO_05536__IS5__CDS__promoter,0.0059408145
3333,cnv_depth__IBNLCO_02801__dnaA__gene__promoter,0.005403299
5916,cnv_depth__IBNLCO_04747__P9__gene__promoter,0.005378081
4382,cnv_depth__IBNLCO_03462__Methyltransferase__CDS,0.0053563192
1956,cnv_depth__IBNLCO_01583__IBNLCO_01583__gene,0.0049673454
4343,cnv_depth__IBNLCO_03442__50S__CDS,0.004942567
6932,cnv_depth__IBNLCO_05674__Bactoprenol__CDS,0.0047727884
2731,cnv_depth__IBNLCO_02220__ISL3-like__CDS__promoter,0.0047027157
4315,cnv_depth__IBNLCO_03427__IBNLCO_03427__gene__promoter,0.004685538
98,cnv_depth__IBNLCO_00054__Short-chain__CDS__promoter,0.0045503443
6094,cnv_depth__IBNLCO_04897__L-threonate__CDS__promoter,0.0045355842
6677,cnv_depth__IBNLCO_05436__Outer__CDS__promoter,0.0044157985
4106,cnv_depth__IBNLCO_03307__tsr__gene__promoter,0.004389523
6690,cnv_depth__IBNLCO_05454__IBNLCO_05454__gene,0.0043690586
4834,cnv_depth__IBNLCO_03842__IBNLCO_03842__gene__promoter,0.004285653
7019,cnv_depth__IBNLCO_05735__IBNLCO_05735__gene__promoter,0.00421487
5360,cnv_depth__IBNLCO_04318__IBNLCO_04318__gene__promoter,0.004136983
3481,cnv_depth__IBNLCO_02918__Gluconate__CDS__promoter,0.0040808455
4208,cnv_depth__IBNLCO_03374__IBNLCO_03374__gene,0.003994494
4624,cnv_depth__IBNLCO_03666__IBNLCO_03666__gene__promoter,0.003944589
6402,cnv_depth__IBNLCO_05144__IBNLCO_05144__gene__promoter,0.0038250997
1057,cnv_depth__IBNLCO_00799__IBNLCO_00799__gene,0.0037701554
706,cnv_depth__IBNLCO_00498__IBNLCO_00498__gene__promoter,0.0036405476
5787,cnv_depth__IBNLCO_04666__hcpA__gene,0.003593838
6272,cnv_depth__IBNLCO_05031__IBNLCO_05031__gene__promoter,0.0035743609
2203,cnv_depth__IBNLCO_01859__Inner__CDS,0.0035725927
134,cnv_depth__IBNLCO_00074__IBNLCO_00074__gene,0.0035072423
2297,cnv_depth__IBNLCO_01917__surE__gene,0.0033980205
7156,cnv_depth__IBNLCO_05832__IBNLCO_05832__gene__promoter,0.0032086205
5892,cnv_depth__IBNLCO_04734__IBNLCO_04734__gene__promoter,0.003148775
2846,cnv_depth__IBNLCO_02317__Gamma-glutamylputrescine__CDS__promoter,0.003055292
1763,cnv_depth__IBNLCO_01449__gnl|Bakta|IBNLCO_01449__CDS__promoter,0.003037914
5681,cnv_depth__IBNLCO_04596__IBNLCO_04596__gene,0.003022392
6382,cnv_depth__IBNLCO_05127__IBNLCO_05127__gene,0.003000316
3014,cnv_depth__IBNLCO_02504__Small__CDS,0.0029247887
2494,cnv_depth__IBNLCO_02052__IBNLCO_02052__gene__promoter,0.002772704
7010,cnv_depth__IBNLCO_05727__PRC-barrel__CDS__promoter,0.0026804558
841,cnv_depth__IBNLCO_00607__IBNLCO_00607__gene__promoter,0.0026788511
60,cnv_depth__IBNLCO_00032__flagellar__CDS,0.0026201943
3882,cnv_depth__IBNLCO_03178__IBNLCO_03178__gene__promoter,0.0025769034
3087,cnv_depth__IBNLCO_02571__hypothetical__CDS__promoter,0.0024836487
204,cnv_depth__IBNLCO_00114__Peptide__CDS__promoter,0.002441209
1934,cnv_depth__IBNLCO_01569__N-acetylmuramoyl-L-alanine__CDS,0.0024209635
5908,cnv_depth__IBNLCO_04743__IBNLCO_04743__gene__promoter,0.0023834237
768,cnv_depth__IBNLCO_00543__Potassium__CDS__promoter,0.0022230821
2082,cnv_depth__IBNLCO_01698__hypothetical__CDS,0.0021927208
2746,cnv_depth__IBNLCO_02232__Polymerase/histidinol__CDS,0.0020896506
3821,cnv_depth__IBNLCO_03140__ATP__CDS,0.002087283
6345,cnv_depth__IBNLCO_05094__HTH__CDS,0.0020170694
1188,cnv_depth__unknown__unknown__regulatory.1,0.0020151697
131,cnv_depth__IBNLCO_00072__IBNLCO_00072__gene,0.0019906417
7150,cnv_depth__IBNLCO_05828__putative__CDS__promoter,0.0019892633
233,cnv_depth__IBNLCO_00176__Peptidoglycan__CDS__promoter,0.001938131
2390,cnv_depth__IBNLCO_01982__ycfH__gene,0.0019065352
6810,cnv_depth__IBNLCO_05592__IBNLCO_05592__gene,0.0018606583
4595,cnv_depth__IBNLCO_03642__5-oxoprolinase__CDS__promoter,0.0018452799
448,cnv_depth__IBNLCO_00307__gnl|Bakta|IBNLCO_00307__CDS__promoter,0.0018115933
5582,cnv_depth__IBNLCO_04534__Dibenzothiophene__CDS__promoter,0.0017731751
