feature,coefficient,abs_coefficient
cnv_depth__IBNLCO_02342__Ubiquinone__CDS__promoter,0.024955776635120087,0.024955776635120087
cnv_depth__IBNLCO_04459__IBNLCO_04459__gene__promoter,0.024637287122549614,0.024637287122549614
cnv_depth__IBNLCO_04534__Dibenzothiophene__CDS__promoter,0.024382439529121395,0.024382439529121395
cnv_depth__IBNLCO_05777__Ferredoxin--NAD(+)__CDS__promoter,0.02404322462668839,0.02404322462668839
cnv_depth__IBNLCO_00951__CHASE2__CDS__promoter,0.023507589845010557,0.023507589845010557
cnv_depth__IBNLCO_01548__IBNLCO_01548__gene__promoter,0.023460288046418414,0.023460288046418414
cnv_depth__IBNLCO_05067__Toxin__CDS__promoter,0.02177163739855484,0.02177163739855484
cnv_depth__IBNLCO_05088__phoB__gene__promoter,0.02175230224226443,0.02175230224226443
cnv_depth__IBNLCO_05778__traR__gene,0.021627887684199924,0.021627887684199924
cnv_depth__IBNLCO_02855__secF__gene__promoter,0.02133620012372896,0.02133620012372896
cnv_depth__IBNLCO_04141__2Fe-2S__CDS__promoter,0.021162363615024923,0.021162363615024923
cnv_depth__IBNLCO_04748__gnl|Bakta|IBNLCO_04748__CDS__promoter,-0.021131387486047842,0.021131387486047842
cnv_depth__IBNLCO_00981__HTH__CDS__promoter,-0.021083426622275463,0.021083426622275463
cnv_depth__IBNLCO_00982__IBNLCO_00982__gene__promoter,-0.02089372006049079,0.02089372006049079
cnv_depth__unknown__unknown__regulatory.1,-0.020545011260376934,0.020545011260376934
cnv_depth__IBNLCO_02571__hypothetical__CDS,-0.020505364025168303,0.020505364025168303
cnv_depth__IBNLCO_01009__gnl|Bakta|IBNLCO_01009__CDS__promoter,0.02040439862935466,0.02040439862935466
cnv_depth__IBNLCO_05031__IBNLCO_05031__gene__promoter,0.020400186359474493,0.020400186359474493
cnv_depth__IBNLCO_01328__IBNLCO_01328__gene__promoter,0.02037900062700213,0.02037900062700213
cnv_depth__IBNLCO_05751__Glycosyltransferase__CDS__promoter,-0.020257218554881915,0.020257218554881915
cnv_depth__IBNLCO_03022__Peptidoglycan__CDS__promoter,0.020207589789041254,0.020207589789041254
cnv_depth__IBNLCO_03094__Protein__CDS__promoter,0.020146993174795465,0.020146993174795465
cnv_depth__IBNLCO_04115__hypothetical__CDS,0.01989575718363877,0.01989575718363877
cnv_depth__IBNLCO_05722__IBNLCO_05722__gene,-0.01984502336563354,0.01984502336563354
cnv_depth__IBNLCO_04983__Type__CDS__promoter,-0.019834723822644437,0.019834723822644437
cnv_depth__IBNLCO_05109__hrpB4__gene__promoter,0.019698717066208692,0.019698717066208692
cnv_depth__IBNLCO_04222__IBNLCO_04222__gene,-0.019600790873319115,0.019600790873319115
cnv_depth__IBNLCO_04107__IBNLCO_04107__gene__promoter,0.01956271922384444,0.01956271922384444
cnv_depth__IBNLCO_02421__IBNLCO_02421__gene,0.019461744560329074,0.019461744560329074
cnv_depth__IBNLCO_05782__IBNLCO_05782__gene__promoter,0.01932677378964475,0.01932677378964475
cnv_depth__IBNLCO_00829__msrA__gene__promoter,0.019323446894486947,0.019323446894486947
cnv_depth__IBNLCO_00792__bpeB__gene__promoter,0.019293500017157923,0.019293500017157923
cnv_depth__IBNLCO_02570__gnl|Bakta|IBNLCO_02570__CDS__promoter,-0.019201569141243744,0.019201569141243744
cnv_depth__IBNLCO_05682__SAF__CDS__promoter,0.019192273775271333,0.019192273775271333
cnv_depth__IBNLCO_02604__3%2C4-dihydroxy-2-butanone__CDS,-0.01909523623153444,0.01909523623153444
cnv_depth__IBNLCO_02391__IBNLCO_02391__gene,-0.01900155031040205,0.01900155031040205
cnv_depth__IBNLCO_03941__3-oxoacyl-ACP__CDS__promoter,0.01887547649079582,0.01887547649079582
cnv_depth__IBNLCO_04115__IBNLCO_04115__gene__promoter,0.01876645943417931,0.01876645943417931
cnv_depth__IBNLCO_00235__response__CDS__promoter,0.01876105804346768,0.01876105804346768
cnv_depth__IBNLCO_01297__proP__gene__promoter,-0.018724042542393595,0.018724042542393595
cnv_depth__IBNLCO_00892__IBNLCO_00892__gene__promoter,0.018623799531068193,0.018623799531068193
cnv_depth__IBNLCO_04514__LysR__CDS__promoter,-0.0186203817092771,0.0186203817092771
cnv_depth__IBNLCO_02529__xdhC__gene__promoter,0.018599514574617282,0.018599514574617282
cnv_depth__IBNLCO_02692__IBNLCO_02692__gene,-0.018591209362344905,0.018591209362344905
cnv_depth__IBNLCO_04942__Tat__CDS__promoter,0.01849648405995723,0.01849648405995723
cnv_depth__IBNLCO_02977__Glycine__CDS,0.0184860814843137,0.0184860814843137
cnv_depth__IBNLCO_02043__IBNLCO_02043__gene,0.018480834594841438,0.018480834594841438
cnv_depth__IBNLCO_04404__UspA__CDS__promoter,0.018371425934953143,0.018371425934953143
cnv_depth__IBNLCO_02054__Phenylserine__CDS__promoter,-0.01831652920718829,0.01831652920718829
cnv_depth__IBNLCO_05223__IBNLCO_05223__gene__promoter,-0.01825623522384576,0.01825623522384576
cnv_depth__IBNLCO_05198__LLM__CDS,-0.01823439819368704,0.01823439819368704
cnv_depth__IBNLCO_05066__hipB__gene,0.01820971784966672,0.01820971784966672
cnv_depth__IBNLCO_03023__ftsL__gene,0.01818510378282581,0.01818510378282581
cnv_depth__IBNLCO_05717__mipA__gene__promoter,0.01809870461827149,0.01809870461827149
cnv_depth__IBNLCO_01579__trnfM__gene__promoter,-0.018081560939049737,0.018081560939049737
cnv_depth__IBNLCO_04222__IBNLCO_04222__gene__promoter,-0.017867293652341226,0.017867293652341226
cnv_depth__IBNLCO_04276__Diguanylate__CDS__promoter,0.01781625326974974,0.01781625326974974
cnv_depth__IBNLCO_04239__IBNLCO_04239__gene__promoter,0.01781178547702391,0.01781178547702391
cnv_depth__IBNLCO_04313__uvrY__gene__promoter,0.017745492987964403,0.017745492987964403
cnv_depth__IBNLCO_05127__HTH__CDS__promoter,-0.01774452321925817,0.01774452321925817
cnv_depth__IBNLCO_02632__Urea__CDS__promoter,0.01773640209434885,0.01773640209434885
cnv_depth__IBNLCO_04972__N-acetylmuramoyl-L-alanine__CDS__promoter,-0.017692031495054526,0.017692031495054526
cnv_depth__IBNLCO_02269__IBNLCO_02269__gene,0.017667508113066235,0.017667508113066235
cnv_depth__IBNLCO_04666__Beta-lactamase__CDS__promoter,-0.01765646642689509,0.01765646642689509
cnv_depth__IBNLCO_05128__High-copy__CDS__promoter,-0.01759961980589509,0.01759961980589509
cnv_depth__IBNLCO_03071__IBNLCO_03071__gene,0.017594160619426077,0.017594160619426077
cnv_depth__IBNLCO_05735__IBNLCO_05735__gene__promoter,0.017566569989475235,0.017566569989475235
cnv_depth__IBNLCO_01580__UPF0303__CDS__promoter,-0.01743608688211247,0.01743608688211247
cnv_depth__IBNLCO_04378__IBNLCO_04378__gene__promoter,0.01737300310571519,0.01737300310571519
cnv_depth__IBNLCO_05752__hypothetical__CDS__promoter,-0.01732532643994714,0.01732532643994714
cnv_depth__IBNLCO_05125__LysR-family__CDS__promoter,0.017311473816247726,0.017311473816247726
cnv_depth__IBNLCO_00312__IBNLCO_00312__gene__promoter,0.0173098628919385,0.0173098628919385
cnv_depth__IBNLCO_00653__lactoylglutathione__CDS__promoter,0.017268709860962336,0.017268709860962336
cnv_depth__IBNLCO_04148__hypothetical__CDS__promoter,0.017244404622642404,0.017244404622642404
cnv_depth__IBNLCO_04747__P9__gene__promoter,-0.01722356546260657,0.01722356546260657
cnv_depth__IBNLCO_03972__Succinyl-CoA:coenzyme__CDS__promoter,0.01718498354610086,0.01718498354610086
cnv_depth__IBNLCO_01079__tRNA__CDS__promoter,0.017064213022820966,0.017064213022820966
cnv_depth__IBNLCO_04919__gnl|Bakta|IBNLCO_04919__CDS__promoter,0.01693891258284968,0.01693891258284968
cnv_depth__IBNLCO_01019__hypothetical__CDS,-0.016932756923807794,0.016932756923807794
cnv_depth__IBNLCO_00393__IBNLCO_00393__gene,0.016876792811048296,0.016876792811048296
cnv_depth__IBNLCO_00883__Integral__CDS__promoter,0.016871044675138988,0.016871044675138988
cnv_depth__IBNLCO_01306__araC__gene__promoter,0.016851145503735256,0.016851145503735256
cnv_depth__IBNLCO_02833__IBNLCO_02833__gene__promoter,-0.016812840239791908,0.016812840239791908
cnv_depth__IBNLCO_04505__SDR__CDS__promoter,-0.016812308040646047,0.016812308040646047
cnv_depth__IBNLCO_04316__Universal__CDS__promoter,0.016800797473265978,0.016800797473265978
cnv_depth__IBNLCO_00394__IBNLCO_00394__gene__promoter,0.016798503040395298,0.016798503040395298
cnv_depth__IBNLCO_01448__Sulfurtransferase__CDS__promoter,0.01676494718988167,0.01676494718988167
cnv_depth__IBNLCO_04172__hypothetical__CDS__promoter,0.01675158355950264,0.01675158355950264
cnv_depth__IBNLCO_04765__hypothetical__CDS__promoter,0.016745366364395588,0.016745366364395588
cnv_depth__IBNLCO_04306__hypothetical__CDS,0.016700207095599256,0.016700207095599256
cnv_depth__IBNLCO_03072__Glutamyl-tRNA__CDS__promoter,0.0166695245690815,0.0166695245690815
cnv_depth__IBNLCO_04108__Immunity__CDS,-0.01663989630062042,0.01663989630062042
cnv_depth__IBNLCO_00176__Peptidoglycan__CDS__promoter,0.016576456097906145,0.016576456097906145
cnv_depth__IBNLCO_01057__IBNLCO_01057__gene,-0.016566593383512056,0.016566593383512056
cnv_depth__IBNLCO_04513__HPP__CDS__promoter,-0.016565615364582016,0.016565615364582016
cnv_depth__IBNLCO_04982__Type__CDS,-0.016511317974757144,0.016511317974757144
cnv_depth__IBNLCO_05694__hypothetical__CDS__promoter,0.016506386215554298,0.016506386215554298
cnv_depth__IBNLCO_04517__IBNLCO_04517__gene__promoter,0.01640284949017599,0.01640284949017599
cnv_depth__IBNLCO_01305__attH__gene__promoter,0.016396346058864055,0.016396346058864055
cnv_depth__IBNLCO_04350__IBNLCO_04350__gene__promoter,-0.016365497965306505,0.016365497965306505
cnv_depth__IBNLCO_02542__Thioredoxin__CDS__promoter,-0.016360763287760226,0.016360763287760226
cnv_depth__IBNLCO_00406__VanZ__CDS__promoter,0.01624638877058825,0.01624638877058825
cnv_depth__IBNLCO_04354__IBNLCO_04354__gene__promoter,-0.016220165455049836,0.016220165455049836
cnv_depth__IBNLCO_00673__3-phosphoshikimate__CDS__promoter,-0.016210158136793384,0.016210158136793384
cnv_depth__IBNLCO_04184__yraA__gene__promoter,0.016160971408101583,0.016160971408101583
cnv_depth__IBNLCO_04332__rihB__gene,0.016116157521416347,0.016116157521416347
cnv_depth__IBNLCO_02103__NfeD-like__CDS__promoter,-0.016116033323177584,0.016116033323177584
cnv_depth__IBNLCO_01267__IBNLCO_01267__gene__promoter,0.01609036720575184,0.01609036720575184
cnv_depth__IBNLCO_01000__Solute-binding__CDS,-0.01604693106791466,0.01604693106791466
cnv_depth__IBNLCO_05435__TetR-family__CDS__promoter,-0.016032634916011347,0.016032634916011347
cnv_depth__IBNLCO_04703__IBNLCO_04703__gene__promoter,-0.01602437616554867,0.01602437616554867
cnv_depth__IBNLCO_03265__IBNLCO_03265__gene__promoter,0.01597297167269357,0.01597297167269357
cnv_depth__IBNLCO_02668__Bis(5'-nucleosyl)-tetraphosphatase%2C__CDS,-0.015966250896443233,0.015966250896443233
cnv_depth__IBNLCO_01481__Glycoside__CDS__promoter,-0.01594112346050564,0.01594112346050564
cnv_depth__IBNLCO_02453__RNA-binding__CDS,-0.015931905588205963,0.015931905588205963
cnv_depth__IBNLCO_03842__IBNLCO_03842__gene__promoter,0.015914575924469442,0.015914575924469442
cnv_depth__IBNLCO_02273__folD__gene__promoter,-0.015908007128292382,0.015908007128292382
cnv_depth__IBNLCO_04962__hypothetical__CDS,0.01585147966052814,0.01585147966052814
cnv_depth__IBNLCO_05234__Enterobactin__CDS__promoter,-0.01569704507017894,0.01569704507017894
cnv_depth__IBNLCO_04701__hypothetical__CDS,0.015685859639732087,0.015685859639732087
cnv_depth__IBNLCO_04492__Methyltransferase__CDS__promoter,0.015647311963850507,0.015647311963850507
cnv_depth__IBNLCO_03586__IBNLCO_03586__gene,0.015572845812128961,0.015572845812128961
cnv_depth__IBNLCO_05826__IBNLCO_05826__gene__promoter,0.015544295082226404,0.015544295082226404
cnv_depth__IBNLCO_01013__Glycine__CDS,-0.015539518063730055,0.015539518063730055
cnv_depth__IBNLCO_03688__Glycine__CDS__promoter,0.015532674681344536,0.015532674681344536
