feature,coefficient,importance,source
cnv_depth__IBNLCO_00176__Peptidoglycan__CDS__promoter,0.016576456097906145,,model_weight
cnv_depth__IBNLCO_00235__response__CDS__promoter,0.01876105804346768,,model_weight
cnv_depth__IBNLCO_00312__IBNLCO_00312__gene__promoter,0.0173098628919385,,model_weight
cnv_depth__IBNLCO_00328__IBNLCO_00328__gene,,0.014925373134328401,permutation_importance
cnv_depth__IBNLCO_00332__eamA__gene,,0.014925373134328401,permutation_importance
cnv_depth__IBNLCO_00356__hypothetical__CDS__promoter,,0.014925373134328401,permutation_importance
cnv_depth__IBNLCO_00393__IBNLCO_00393__gene,0.016876792811048296,,model_weight
cnv_depth__IBNLCO_00394__IBNLCO_00394__gene__promoter,0.016798503040395298,,model_weight
cnv_depth__IBNLCO_00406__VanZ__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_00406__vanZ__gene,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_00442__IBNLCO_00442__gene__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_00494__IBNLCO_00494__gene__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_00653__lactoylglutathione__CDS__promoter,0.017268709860962336,,model_weight
cnv_depth__IBNLCO_00667__sutR__gene__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_00713__IBNLCO_00713__gene,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_00725__Two-component__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_00759__IS3__CDS__promoter,,0.014925373134328401,permutation_importance
cnv_depth__IBNLCO_00763__IBNLCO_00763__gene__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_00792__bpeB__gene__promoter,0.019293500017157923,,model_weight
cnv_depth__IBNLCO_00829__msrA__gene__promoter,0.019323446894486947,,model_weight
cnv_depth__IBNLCO_00883__Integral__CDS__promoter,0.016871044675138988,,model_weight
cnv_depth__IBNLCO_00892__IBNLCO_00892__gene__promoter,0.018623799531068193,,model_weight
cnv_depth__IBNLCO_00951__CHASE2__CDS__promoter,0.023507589845010557,,model_weight
cnv_depth__IBNLCO_00981__HTH__CDS__promoter,-0.021083426622275463,,model_weight
cnv_depth__IBNLCO_00982__IBNLCO_00982__gene__promoter,-0.02089372006049079,,model_weight
cnv_depth__IBNLCO_01009__gnl|Bakta|IBNLCO_01009__CDS__promoter,0.02040439862935466,,model_weight
cnv_depth__IBNLCO_01013__Glycine__CDS,,0.014925373134328401,permutation_importance
cnv_depth__IBNLCO_01019__hypothetical__CDS,-0.016932756923807794,,model_weight
cnv_depth__IBNLCO_01057__IBNLCO_01057__gene,-0.016566593383512056,,model_weight
cnv_depth__IBNLCO_01079__tRNA__CDS__promoter,0.017064213022820966,,model_weight
cnv_depth__IBNLCO_01185__IBNLCO_01185__gene__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_01297__proP__gene__promoter,-0.018724042542393595,,model_weight
cnv_depth__IBNLCO_01305__attH__gene__promoter,0.016396346058864055,,model_weight
cnv_depth__IBNLCO_01306__araC__gene__promoter,0.016851145503735256,,model_weight
cnv_depth__IBNLCO_01328__IBNLCO_01328__gene__promoter,0.02037900062700213,,model_weight
cnv_depth__IBNLCO_01367__HTH-type__CDS,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_01448__Sulfurtransferase__CDS__promoter,0.01676494718988167,0.01343283582089556,"model_weight, permutation_importance"
cnv_depth__IBNLCO_01543__cpaE__gene__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_01547__hypothetical__CDS,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_01548__IBNLCO_01548__gene__promoter,0.023460288046418414,,model_weight
cnv_depth__IBNLCO_01551__hypothetical__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_01579__trnfM__gene__promoter,-0.018081560939049737,,model_weight
cnv_depth__IBNLCO_01580__UPF0303__CDS__promoter,-0.01743608688211247,,model_weight
cnv_depth__IBNLCO_01730__GHMP__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_01969__2-oxo-tetronate__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02024__IBNLCO_02024__gene__promoter,,0.014925373134328401,permutation_importance
cnv_depth__IBNLCO_02043__IBNLCO_02043__gene,0.018480834594841438,,model_weight
cnv_depth__IBNLCO_02054__Phenylserine__CDS__promoter,-0.01831652920718829,,model_weight
cnv_depth__IBNLCO_02103__NfeD-like__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02107__Peptidase__CDS__promoter,,0.014925373134328401,permutation_importance
cnv_depth__IBNLCO_02111__IBNLCO_02111__gene,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02173__Enoyl-[acyl-carrier-protein]__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02220__ISL3-like__CDS,,0.014925373134328401,permutation_importance
cnv_depth__IBNLCO_02226__Outer__CDS,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02269__IBNLCO_02269__gene,0.017667508113066235,,model_weight
cnv_depth__IBNLCO_02342__Ubiquinone__CDS__promoter,0.024955776635120087,,model_weight
cnv_depth__IBNLCO_02391__IBNLCO_02391__gene,-0.01900155031040205,,model_weight
cnv_depth__IBNLCO_02411__recO__gene__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02421__IBNLCO_02421__gene,0.019461744560329074,,model_weight
cnv_depth__IBNLCO_02506__hypothetical__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02529__xdhC__gene__promoter,0.018599514574617282,,model_weight
cnv_depth__IBNLCO_02570__gnl|Bakta|IBNLCO_02570__CDS__promoter,-0.019201569141243744,,model_weight
cnv_depth__IBNLCO_02571__hypothetical__CDS,-0.020505364025168303,,model_weight
cnv_depth__IBNLCO_02604__3%2C4-dihydroxy-2-butanone__CDS,-0.01909523623153444,,model_weight
cnv_depth__IBNLCO_02630__Aspartate__CDS,,0.014925373134328401,permutation_importance
cnv_depth__IBNLCO_02632__Urea__CDS__promoter,0.01773640209434885,,model_weight
cnv_depth__IBNLCO_02668__Bis(5'-nucleosyl)-tetraphosphatase%2C__CDS,,0.014925373134328401,permutation_importance
cnv_depth__IBNLCO_02674__UPF0301__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02685__IBNLCO_02685__gene__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02686__gnl|Bakta|IBNLCO_02686__CDS,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02692__IBNLCO_02692__gene,-0.018591209362344905,,model_weight
cnv_depth__IBNLCO_02742__putative__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02795__IBNLCO_02795__gene,,0.014925373134328401,permutation_importance
cnv_depth__IBNLCO_02833__IBNLCO_02833__gene__promoter,-0.016812840239791908,,model_weight
cnv_depth__IBNLCO_02855__secF__gene__promoter,0.02133620012372896,,model_weight
cnv_depth__IBNLCO_02866__THUMP__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02870__IBNLCO_02870__gene,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02887__Phosphoglycerate__CDS,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02928__Biopolymer__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_02977__Glycine__CDS,0.0184860814843137,,model_weight
cnv_depth__IBNLCO_03003__DNA__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_03022__Peptidoglycan__CDS__promoter,0.020207589789041254,,model_weight
cnv_depth__IBNLCO_03023__ftsL__gene,0.01818510378282581,,model_weight
cnv_depth__IBNLCO_03071__IBNLCO_03071__gene,0.017594160619426077,0.01343283582089556,"model_weight, permutation_importance"
cnv_depth__IBNLCO_03071__hypothetical__CDS__promoter,,0.01343283582089556,permutation_importance
cnv_depth__IBNLCO_03072__Glutamyl-tRNA__CDS__promoter,0.0166695245690815,0.01343283582089556,"model_weight, permutation_importance"
cnv_depth__IBNLCO_03081__rutE__gene,,0.01343283582089556,permutation_importance
