model,hyperparameters,test_accuracy,cv_score
Logistic Regression,C=10.0000,0.9850746268656716,0.9348387096774194
K-Nearest Neighbors,k=1,0.9850746268656716,0.9281720430107526
Support Vector Machine,"kernel=poly, C=10.0000",0.9552238805970149,0.9348387096774194
Decision Tree,"max_depth=5, min_samples_split=10",0.8805970149253731,0.844516129032258
XGBoost,"max_depth=3, learning_rate=0.1, reg_alpha=0.1, reg_lambda=1.0",0.9253731343283582,0.9286021505376345
Logistic Regression,C=1000.0000,0.9701492537313433,0.9477419354838711
K-Nearest Neighbors,k=5,0.9402985074626866,0.921720430107527
Support Vector Machine,"kernel=linear, C=0.0100",0.9701492537313433,0.9412903225806453
Decision Tree,"max_depth=5, min_samples_split=2",0.8507462686567164,0.8574193548387097
Logistic Regression,C=1.0000,0.9552238805970149,0.9412903225806453
Logistic Regression,C=0.1000,0.9402985074626866,0.9412903225806453
Logistic Regression,C=0.1000,0.9402985074626866,0.9412903225806453
K-Nearest Neighbors,k=5,0.9402985074626866,0.921720430107527
K-Nearest Neighbors,k=25,0.9104477611940298,0.9221505376344087
Decision Tree,"max_depth=5, min_samples_split=20",0.8958333333333334,0.8383193277310923
Support Vector Machine,"kernel=poly, C=100.0000",0.8958333333333334,0.9011764705882352
XGBoost,"max_depth=3, learning_rate=0.05, reg_alpha=0.1, reg_lambda=0.1",1.0,0.8727731092436976
