cnv_feature,spearman_r,p_value,p_value_adj,cohens_d,significant_fdr
cnv_depth__IBNLCO_00076__dnaA__gene,0.7485098686161809,6.091090605792582e-41,,1.8608989389091344,True
cnv_depth__IBNLCO_00312__IBNLCO_00312__gene__promoter,0.721762129536188,7.4761438422445085e-37,,1.9473254007861867,True
cnv_depth__IBNLCO_03389__IBNLCO_03389__gene,0.7062541318781071,1.0764743198126043e-34,,1.473705590291517,True
cnv_depth__IBNLCO_02981__IBNLCO_02981__gene,0.6968639681585352,1.8693013726284603e-33,,1.1093548322694764,True
cnv_depth__IBNLCO_03094__Protein__CDS__promoter,0.6950143904561953,3.237611605120008e-33,,1.6963179121226513,True
cnv_depth__IBNLCO_01722__Syringopeptin__CDS,-0.6931648127538553,5.584283358642653e-33,,-1.8251386089360484,True
cnv_depth__IBNLCO_03222__DNA__CDS,0.6866201531917294,3.7196643595562863e-32,,1.6031538380041497,True
cnv_depth__IBNLCO_04643__Linear__CDS,-0.6834900986185389,9.051966507954943e-32,,-1.5743079588097935,True
cnv_depth__IBNLCO_00072__IBNLCO_00072__gene,0.6789372919666251,3.235855384071371e-31,,1.1520972633806772,True
cnv_depth__IBNLCO_02855__secF__gene__promoter,0.6769454390564129,5.60927869845014e-31,,1.5518210454813397,True
cnv_depth__IBNLCO_01544__Bacterial__CDS,-0.6743844853147115,1.1306818766320946e-30,,-1.4770316460834927,True
cnv_depth__IBNLCO_03361__Glycine__CDS,0.6735308340674777,1.4260634187902848e-30,,1.5240068615336715,True
cnv_depth__IBNLCO_04666__hcpA__gene,-0.6705430547021592,3.1936808064435465e-30,,-1.2458021840235238,True
cnv_depth__IBNLCO_03017__ftsW__gene,0.6694048530391808,4.3312425185656314e-30,,1.318356319229273,True
cnv_depth__IBNLCO_05846__histidine__CDS,0.6691203026234364,4.673058876137184e-30,,1.421934600213847,True
cnv_depth__IBNLCO_01268__gnl|Bakta|IBNLCO_01268__CDS,-0.6688357522076918,5.0414274914822896e-30,,-1.4676598332778197,True
cnv_depth__IBNLCO_00079__yidC__gene,0.667128449713224,7.934224106014274e-30,,1.1802924372788008,True
cnv_depth__IBNLCO_01884__Poly-beta-hydroxybutyrate__CDS,-0.6669861745053518,8.238691951736324e-30,,-1.6003880895821225,True
cnv_depth__IBNLCO_03387__Bifunctional__CDS,0.6662747984659902,9.942424432860844e-30,,1.4892380835912342,True
cnv_depth__IBNLCO_04704__IBNLCO_04704__gene,-0.6662747984659902,9.942424432860844e-30,,-1.6846273617470187,True
cnv_depth__IBNLCO_03093__IBNLCO_03093__gene,0.6637138447242888,1.9477099299313183e-29,,1.592806369655678,True
cnv_depth__IBNLCO_01569__N-acetylmuramoyl-L-alanine__CDS,-0.6631447438927996,2.2595907449235512e-29,,-1.5338794248564898,True
