genome_name,source,species,resistance_profile,sra_accession,ST,location
EPAC004,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387708,70,Thailand:Amnat Charoen
EPAC006,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387706,512,Thailand:Amnat Charoen
EPAC013,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387705,17,Thailand:Amnat Charoen
EPAC021,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387702,178,Thailand:Amnat Charoen
EPAC023,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387701,Novel ST,Thailand:Amnat Charoen
EPAC032,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387699,Novel ST,Thailand:Amnat Charoen
EPAC036,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387697,70,Thailand:Amnat Charoen
EPAC037,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387696,Novel ST,Thailand:Amnat Charoen
EPAC038,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387695,70,Thailand:Amnat Charoen
EPAC039,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387694,70,Thailand:Amnat Charoen
EPAC048,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387692,Novel ST,Thailand:Amnat Charoen
EPAC049,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387691,163,Thailand:Amnat Charoen
EPAC050,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387690,512,Thailand:Amnat Charoen
EPAC053,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387689,54,Thailand:Amnat Charoen
EPAC055,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387688,206,Thailand:Amnat Charoen
EPAC065,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387687,1051,Thailand:Amnat Charoen
EPAC066,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387993,155,Thailand:Amnat Charoen
EPAC071,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387992,219,Thailand:Amnat Charoen
EPBR007,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ, IPM",SRR27387990,17,Thailand:Buri Ram
EPBR012,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ; Not determined: IPM",SRR27387987,306,Thailand:Buri Ram
EPBR017,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ; Not determined: IPM",SRR27387985,70,Thailand:Buri Ram
EPBR048,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ; Not determined: IPM",SRR27387814,93,Thailand:Buri Ram
EPBR064,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ; Not determined: IPM",SRR27387811,93,Thailand:Buri Ram
EPCP163,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387786,1421,Thailand:Chaiyaphum
EPMN061,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387965,203,Thailand:Nakhon Ratchasima
EPMN069,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387964,99,Thailand:Nakhon Ratchasima
EPMN081,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387961,306,Thailand:Nakhon Ratchasima
